rod_num,clube_name,opposing_team_name,player_name,shirt_number,nationality,position_fbref,age,minutes_played,duelos_aereos_vencidos,duelos_aereos_perdidos,%_duelos_vencidos,divididas,divididas_vencidas,divididas_first_third,divididas_mid_third,divididas_last_third,bloqueios,bloqueios_chutes,bloqueios_passes,rasgadas_de_bola,erros_para_chute_adv,passes_attempt,passes_attempt.1,passes_bola_rolando,passes_bola_parada,passes_faltas,passes_lancamento,passes_virada_jogo,cruzamentos,passes_laterais,escanteios,escanteios_fechados,escanteios_abertos,escanteios_retos,passes_completed,passes_completed.1,passes_impedimento,passes_bloqueados,passes_accuracy_%,total_distance_passes,total_forward_distance_passes,short_passes_completed,short_passes_attempt,short_passes_accuracy_%,medium_passes_completed,medium_passes_attempt,medium_passes_accuracy_%,long_passes_completed,long_passes_attempt,long_passes_accuracy_%,A,xag,xA,assisted_shots,passes_in_last_third,passes_into_adv_area,crosses_into_adv_area,progressive_passes,G,penalty_goals,penltay_attempt,F,FD,CA,CV,ball_touches,intercepctacoes,blocks,xg,npxg,sca,gca,passes_completed.2,passes_completed.3,passes_attempt.2,passes_attempt.3,ball_carries,progressive_ball_carries,dribles_attempt,dribles_success,atleta_id
8,Corinthians,Fluminense,Murillo,34.0,br BRA,CB,20-328,90,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,3.0,3.0,0.0,4.0,0.0,33.0,33.0,33.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,1.0,72.7,423.0,176.0,10.0,11.0,90.9,12.0,13.0,92.3,1.0,7.0,14.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,42.0,2,3.0,0.0,0.0,0.0,0.0,24.0,24.0,33.0,33.0,20.0,0.0,0.0,0.0,121821
8,Corinthians,Fluminense,Gil,4.0,br BRA,CB,35-350,90,2.0,1.0,66.7,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,23.0,23.0,20.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,2.0,0.0,82.6,356.0,115.0,5.0,6.0,83.3,12.0,12.0,100.0,2.0,3.0,66.7,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,1,0,31.0,1,1.0,0.0,0.0,0.0,0.0,19.0,19.0,23.0,23.0,20.0,0.0,0.0,0.0,68923
8,Corinthians,Fluminense,Bruno Méndez,25.0,uy URU,RB,23-260,83,0.0,1.0,0.0,1.0,1,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,34.0,34.0,30.0,4.0,2.0,0.0,1.0,1,2.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,1.0,82.4,549.0,250.0,9.0,9.0,100.0,14.0,14.0,100.0,4.0,9.0,44.4,0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0,0,0,0,0,0,0,37.0,0,1.0,0.0,0.0,0.0,0.0,28.0,28.0,34.0,34.0,15.0,0.0,0.0,0.0,103700
8,Corinthians,Fluminense,Fagner,23.0,br BRA,RB,33-351,7,0.0,0.0,,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,60.0,71.0,58.0,0.0,0.0,,2.0,3.0,66.7,1.0,2.0,50.0,1,0.1,0.1,1.0,0.0,1.0,0.0,3.0,0,0,0,0,0,0,0,6.0,0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,5.0,5.0,2.0,0.0,0.0,0.0,42500
8,Fluminense,Corinthians,Germán Cano,14.0,ar ARG,FW,35-115,82,0.0,0.0,,1.0,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,9.0,7.0,2.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0,55.6,59.0,7.0,4.0,4.0,100.0,1.0,2.0,50.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,14.0,1,1.0,0.0,0.0,1.0,0.0,5.0,5.0,9.0,9.0,6.0,0.0,0.0,0.0,79631
8,Fluminense,Corinthians,Lelê,99.0,br BRA,FW,25-239,8,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,50.0,12.0,0.0,1.0,2.0,50.0,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,4.0,0,0.0,0.1,0.1,0.0,0.0,1.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,115915
8,Fluminense,Corinthians,Jhon Arias,21.0,co COL,LW,25-249,90,2.0,0.0,100.0,4.0,2,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,76.0,76.0,68.0,7.0,3.0,0.0,0.0,10,2.0,2.0,0.0,0.0,0.0,61.0,61.0,1.0,3.0,80.3,773.0,143.0,47.0,50.0,94.0,13.0,14.0,92.9,1.0,8.0,12.5,0,0.0,0.2,0.0,2.0,3.0,0.0,5.0,0,0,0,3,2,0,0,89.0,1,0.0,0.1,0.1,3.0,0.0,61.0,61.0,76.0,76.0,57.0,8.0,5.0,4.0,99815
8,Fluminense,Corinthians,Lima,45.0,br BRA,RW,26-351,82,3.0,0.0,100.0,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,37.0,37.0,0.0,1.0,92.5,415.0,93.0,34.0,35.0,97.1,3.0,4.0,75.0,0.0,0.0,,0,0.1,0.1,3.0,2.0,2.0,0.0,6.0,0,0,0,3,1,0,0,50.0,1,1.0,0.1,0.1,5.0,0.0,37.0,37.0,40.0,40.0,41.0,3.0,2.0,1.0,96340
8,Fluminense,Corinthians,Arthur,28.0,br BRA,RW,19-093,8,0.0,0.0,,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,1.0,92.3,186.0,86.0,9.0,9.0,100.0,2.0,2.0,100.0,1.0,1.0,100.0,0,0.4,0.1,4.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,17.0,0,0.0,0.0,0.0,4.0,0.0,12.0,12.0,13.0,13.0,9.0,0.0,0.0,0.0,111841
8,Fluminense,Corinthians,Ganso,10.0,br BRA,AM,33-228,90,0.0,1.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,109.0,109.0,98.0,10.0,6.0,0.0,0.0,4,0.0,4.0,4.0,0.0,0.0,92.0,92.0,1.0,1.0,84.4,1248.0,406.0,61.0,68.0,89.7,29.0,33.0,87.9,2.0,6.0,33.3,0,0.2,0.2,4.0,12.0,0.0,0.0,14.0,0,0,0,0,0,0,0,110.0,0,0.0,0.0,0.0,9.0,0.0,92.0,92.0,109.0,109.0,62.0,2.0,1.0,1.0,62977
