,status,fix_id,home_team_id,home_team_name,home_team_logo,away_team_id,away_team_nome,away_team_logo,rod_num
158,Final,206484,1004,Corinthians,https://frontendapiapp.blob.core.windows.net/images/88x88/corinthians.png,1015,Vasco,https://frontendapiapp.blob.core.windows.net/images/88x88/vasco.png,17
159,Final,206509,1007,São Paulo,https://frontendapiapp.blob.core.windows.net/images/88x88/sao-paulo.png,1250,Bahia,https://frontendapiapp.blob.core.windows.net/images/88x88/bahia.png,17
160,Final,206597,1006,Fluminense,https://frontendapiapp.blob.core.windows.net/images/88x88/fluminense.png,1011,Santos,https://frontendapiapp.blob.core.windows.net/images/88x88/santos.png,17
161,Final,206638,1009,Atlético-MG,https://frontendapiapp.blob.core.windows.net/images/88x88/atletico-mg.png,1005,Flamengo,https://frontendapiapp.blob.core.windows.net/images/88x88/flamengo.png,17
162,Final,206669,1003,Botafogo,https://frontendapiapp.blob.core.windows.net/images/88x88/botafogo.png,1008,Coritiba,https://frontendapiapp.blob.core.windows.net/images/88x88/coritiba.png,17
163,Final,206740,1014,Goiás,https://frontendapiapp.blob.core.windows.net/images/88x88/goias.png,1083,Grêmio,https://frontendapiapp.blob.core.windows.net/images/88x88/gremio.png,17
164,Final,206754,1010,Athletico-PR,https://frontendapiapp.blob.core.windows.net/images/88x88/athletico-pr.png,1017,Cruzeiro,https://frontendapiapp.blob.core.windows.net/images/88x88/cruzeiro.png,17
165,Final,206769,1024,Fortaleza,https://frontendapiapp.blob.core.windows.net/images/88x88/fortaleza.png,1055,Red Bull Bragantino,https://frontendapiapp.blob.core.windows.net/images/88x88/bragantino.png,17
166,Final,206796,1018,Internacional,https://frontendapiapp.blob.core.windows.net/images/88x88/internacional.png,1755,Cuiabá,https://frontendapiapp.blob.core.windows.net/images/88x88/cuiaba.png,17
167,Final,206803,1085,América-MG,https://frontendapiapp.blob.core.windows.net/images/88x88/america-mg.png,1012,Palmeiras,https://frontendapiapp.blob.core.windows.net/images/88x88/palmeiras.png,17
168,Final,206507,1007,São Paulo,https://frontendapiapp.blob.core.windows.net/images/88x88/sao-paulo.png,1009,Atlético-MG,https://frontendapiapp.blob.core.windows.net/images/88x88/atletico-mg.png,18
169,Final,206532,1011,Santos,https://frontendapiapp.blob.core.windows.net/images/88x88/santos.png,1010,Athletico-PR,https://frontendapiapp.blob.core.windows.net/images/88x88/athletico-pr.png,18
170,Final,206568,1015,Vasco,https://frontendapiapp.blob.core.windows.net/images/88x88/vasco.png,1083,Grêmio,https://frontendapiapp.blob.core.windows.net/images/88x88/gremio.png,18
171,Final,206594,1006,Fluminense,https://frontendapiapp.blob.core.windows.net/images/88x88/fluminense.png,1012,Palmeiras,https://frontendapiapp.blob.core.windows.net/images/88x88/palmeiras.png,18
172,Final,206622,1017,Cruzeiro,https://frontendapiapp.blob.core.windows.net/images/88x88/cruzeiro.png,1003,Botafogo,https://frontendapiapp.blob.core.windows.net/images/88x88/botafogo.png,18
173,Final,206687,1250,Bahia,https://frontendapiapp.blob.core.windows.net/images/88x88/bahia.png,1085,América-MG,https://frontendapiapp.blob.core.windows.net/images/88x88/america-mg.png,18
174,Final,206695,1755,Cuiabá,https://frontendapiapp.blob.core.windows.net/images/88x88/cuiaba.png,1005,Flamengo,https://frontendapiapp.blob.core.windows.net/images/88x88/flamengo.png,18
175,Final,206742,1014,Goiás,https://frontendapiapp.blob.core.windows.net/images/88x88/goias.png,1024,Fortaleza,https://frontendapiapp.blob.core.windows.net/images/88x88/fortaleza.png,18
176,Final,206785,1018,Internacional,https://frontendapiapp.blob.core.windows.net/images/88x88/internacional.png,1004,Corinthians,https://frontendapiapp.blob.core.windows.net/images/88x88/corinthians.png,18
177,Final,206826,1008,Coritiba,https://frontendapiapp.blob.core.windows.net/images/88x88/coritiba.png,1055,Red Bull Bragantino,https://frontendapiapp.blob.core.windows.net/images/88x88/bragantino.png,18
178,Final,206468,1012,Palmeiras,https://frontendapiapp.blob.core.windows.net/images/88x88/palmeiras.png,1017,Cruzeiro,https://frontendapiapp.blob.core.windows.net/images/88x88/cruzeiro.png,19
179,Final,206498,1004,Corinthians,https://frontendapiapp.blob.core.windows.net/images/88x88/corinthians.png,1008,Coritiba,https://frontendapiapp.blob.core.windows.net/images/88x88/coritiba.png,19
