rod_num,clube_name,opposing_team_name,player_name,nationality,age,minutes_played,chutes_recebidos_no_gol,GS,defesas,%_defesas,psxg,lancamentos_completos,lancamentos_attempt,lancamentos_sucesso_%,passes_attempt,passes_mao,%_passes_lancamento,distancia_media_lancamento,tiro_meta,lancamentos_tiro_meta,distancia_media_tiro_meta,cruzamentos_adv_area,cruzamentos_adv_area_interrompidos,cruzamentos_adv_area_interrompidos_%,acoes_defensivas_fora_area,distancia_media_acoes_defensivas,atleta_id
13,Atlético-MG,América-MG,Éverson,br BRA,32-345,90,5,2.0,3,60.0,2.0,11.0,26.0,42.3,38.0,4.0,47.4,41.0,10.0,80.0,59.6,22.0,1.0,4.5,1.0,15.3,72294
13,América-MG,Atlético-MG,Mateus Pasinato,br BRA,31-004,90,5,2.0,3,60.0,1.2,2.0,4.0,50.0,16.0,6.0,6.3,22.3,5.0,60.0,45.6,13.0,0.0,0.0,1.0,11.3,87603
13,Athlético-PR,Palmeiras,Leonardo Linck,br BRA,22-121,90,5,2.0,2,60.0,2.3,2.0,5.0,40.0,17.0,5.0,29.4,32.2,4.0,0.0,17.0,9.0,0.0,0.0,2.0,28.3,107183
13,Palmeiras,Athlético-PR,Wéverton,br BRA,35-201,90,5,2.0,3,80.0,2.6,8.0,23.0,34.8,24.0,6.0,41.7,39.3,18.0,72.2,52.7,20.0,0.0,0.0,0.0,10.5,71631
13,Cuiabá,Santos,Walter,br BRA,35-226,90,2,0.0,2,100.0,0.1,2.0,11.0,18.2,29.0,4.0,31.0,33.5,4.0,50.0,39.3,12.0,2.0,16.7,0.0,9.0,51413
13,Santos,Cuiabá,João Paulo,br BRA,28-003,90,6,3.0,3,50.0,1.8,3.0,5.0,60.0,23.0,4.0,8.7,25.7,6.0,50.0,42.7,27.0,2.0,7.4,0.0,8.0,85425
13,Internacional,Cruzeiro,John,br BRA,27-138,90,3,0.0,3,100.0,1.7,2.0,6.0,33.3,21.0,3.0,28.6,30.8,7.0,0.0,19.0,9.0,1.0,11.1,2.0,17.4,94044
13,Cruzeiro,Internacional,Rafael Cabral,br BRA,33-042,90,4,0.0,4,100.0,0.4,12.0,18.0,66.7,37.0,5.0,32.4,32.5,11.0,54.5,43.5,15.0,0.0,0.0,0.0,9.0,68940
13,Goiás,Coritiba,Tadeu,br BRA,31-149,90,8,2.0,6,75.0,1.2,4.0,9.0,44.4,26.0,7.0,34.6,31.3,5.0,0.0,15.2,5.0,1.0,20.0,4.0,25.3,82453
13,Coritiba,Goiás,Gabriel,br BRA,30-279,90,6,1.0,5,83.3,1.6,11.0,26.0,42.3,29.0,8.0,58.6,43.2,11.0,81.8,52.7,32.0,5.0,15.6,0.0,8.3,70449
14,Cuiabá,Bahia,Walter,br BRA,35-232,90,2,1.0,2,50.0,0.6,6.0,10.0,60.0,14.0,3.0,42.9,33.8,5.0,80.0,53.8,10.0,2.0,20.0,1.0,12.6,51413
14,Bahia,Cuiabá,Marcos Felipe,br BRA,27-086,90,6,1.0,5,100.0,1.7,4.0,15.0,26.7,42.0,8.0,31.0,31.5,4.0,50.0,36.0,16.0,1.0,6.3,1.0,12.3,85004
14,Vasco,Cruzeiro,Leonardo César Jardim,br BRA,28-110,90,5,1.0,4,80.0,,,,,,,,,,,,,,,,,87008
14,Cruzeiro,Vasco,Rafael Cabral,br BRA,33-049,90,1,0.0,1,100.0,0.2,6.0,17.0,35.3,36.0,4.0,33.3,35.4,13.0,38.5,39.1,14.0,0.0,0.0,0.0,16.0,68940
14,Atlético-MG,Corinthians,Éverson,br BRA,32-351,90,2,1.0,1,50.0,1.2,3.0,12.0,25.0,26.0,5.0,42.3,37.4,5.0,20.0,26.6,4.0,0.0,0.0,2.0,23.0,72294
14,Corinthians,Atlético-MG,Cássio,br BRA,36-032,90,6,0.0,6,100.0,1.4,8.0,16.0,50.0,19.0,5.0,52.6,43.0,10.0,60.0,41.3,22.0,3.0,13.6,0.0,8.0,42234
14,Coritiba,América-MG,Luan Polli,br BRA,30-093,90,4,1.0,3,75.0,1.0,8.0,22.0,36.4,14.0,2.0,71.4,47.4,12.0,100.0,63.3,18.0,1.0,5.6,2.0,21.0,88916
14,América-MG,Coritiba,Mateus Pasinato,br BRA,31-010,90,7,3.0,4,71.4,2.9,5.0,8.0,62.5,14.0,4.0,42.9,34.4,4.0,50.0,45.5,13.0,0.0,0.0,3.0,19.8,87603
14,Santos,Goiás,João Paulo,br BRA,28-010,90,5,3.0,2,60.0,2.3,5.0,12.0,41.7,16.0,2.0,43.8,31.5,8.0,62.5,46.3,23.0,1.0,4.3,0.0,5.0,85425
14,Goiás,Santos,Tadeu,br BRA,31-155,90,6,4.0,2,50.0,3.3,3.0,12.0,25.0,37.0,7.0,32.4,34.7,4.0,0.0,11.3,23.0,3.0,13.0,1.0,12.5,82453
14,Bragantino,São Paulo,Cleiton Schwengber,br BRA,25-324,90,1,0.0,1,100.0,0.4,3.0,12.0,25.0,27.0,3.0,40.7,34.5,4.0,25.0,22.0,9.0,0.0,0.0,4.0,24.5,93882
